NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,74.974998,sanaz,"April 28, 2021 at 10:32PM"
temperatureF,75.212601,sanaz,"April 28, 2021 at 10:33PM"
temperatureF,74.440399,sanaz,"April 28, 2021 at 10:34PM"
temperatureF,75.509598,sanaz,"April 28, 2021 at 10:35PM"
temperatureF,74.915596,sanaz,"April 28, 2021 at 10:36PM"
temperatureF,75.3908,sanaz,"April 28, 2021 at 10:37PM"
temperatureF,74.499802,sanaz,"April 28, 2021 at 10:38PM"
temperatureF,74.737396,sanaz,"April 28, 2021 at 10:39PM"
temperatureF,75.450203,sanaz,"April 28, 2021 at 10:40PM"
temperatureF,75.331398,sanaz,"April 28, 2021 at 10:41PM"
temperatureF,75.569,sanaz,"April 28, 2021 at 10:42PM"
temperatureF,75.984802,sanaz,"April 28, 2021 at 10:43PM"
temperatureF,74.915596,sanaz,"April 28, 2021 at 10:44PM"
temperatureF,75.9254,sanaz,"April 28, 2021 at 10:45PM"
temperatureF,75.806602,sanaz,"April 28, 2021 at 10:46PM"
temperatureF,73.668198,sanaz,"April 28, 2021 at 10:47PM"
temperatureF,67.787598,sanaz,"April 28, 2021 at 10:48PM"
temperatureF,68.500397,sanaz,"April 28, 2021 at 10:49PM"
temperatureF,68.797401,sanaz,"April 28, 2021 at 10:50PM"
temperatureF,68.975601,sanaz,"April 28, 2021 at 10:51PM"
temperatureF,72.302002,sanaz,"April 28, 2021 at 10:52PM"
temperatureF,69.807198,sanaz,"April 28, 2021 at 10:53PM"
temperatureF,68.441002,sanaz,"April 28, 2021 at 10:54PM"
temperatureF,68.619202,sanaz,"April 28, 2021 at 10:55PM"
temperatureF,69.332001,sanaz,"April 28, 2021 at 10:56PM"
temperatureF,71.470406,sanaz,"April 28, 2021 at 10:57PM"
temperatureF,69.450806,sanaz,"April 28, 2021 at 10:58PM"
temperatureF,74.440399,sanaz,"April 28, 2021 at 10:59PM"
temperatureF,67.965805,sanaz,"April 28, 2021 at 11:00PM"
temperatureF,70.223,sanaz,"April 28, 2021 at 11:01PM"
temperatureF,68.797401,sanaz,"April 28, 2021 at 11:02PM"
temperatureF,68.441002,sanaz,"April 28, 2021 at 11:03PM"
temperatureF,67.134201,sanaz,"April 28, 2021 at 11:04PM"
temperatureF,70.757599,sanaz,"April 28, 2021 at 11:05PM"
temperatureF,70.519997,sanaz,"April 28, 2021 at 11:06PM"
temperatureF,67.134201,sanaz,"April 28, 2021 at 11:07PM"
temperatureF,74.024597,sanaz,"April 28, 2021 at 11:08PM"
temperatureF,69.213196,sanaz,"April 28, 2021 at 11:09PM"
temperatureF,68.559799,sanaz,"April 28, 2021 at 11:10PM"
temperatureF,73.430603,sanaz,"April 28, 2021 at 11:11PM"
temperatureF,67.965805,sanaz,"April 28, 2021 at 11:12PM"
temperatureF,70.876396,sanaz,"April 28, 2021 at 11:13PM"
temperatureF,67.847,sanaz,"April 28, 2021 at 11:14PM"
temperatureF,72.183197,sanaz,"April 28, 2021 at 11:15PM"
temperatureF,66.718399,sanaz,"April 28, 2021 at 11:16PM"
temperatureF,73.014801,sanaz,"April 28, 2021 at 11:17PM"
temperatureF,69.332001,sanaz,"April 28, 2021 at 11:18PM"
temperatureF,68.856804,sanaz,"April 28, 2021 at 11:19PM"
temperatureF,73.193001,sanaz,"April 28, 2021 at 11:20PM"
temperatureF,72.183197,sanaz,"April 28, 2021 at 11:21PM"
temperatureF,73.430603,sanaz,"April 28, 2021 at 11:22PM"
temperatureF,67.609406,sanaz,"April 28, 2021 at 11:23PM"
temperatureF,70.401199,sanaz,"April 28, 2021 at 11:24PM"
